Sample description: b'Au'
Sample: b'Au'  c= 0 mg/ml  Code: 
Parent(s): /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86116_eiger.dat /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86118_eiger.dat
  8.723606e-03   8.482972e+01   1.085823e-01
  8.794669e-03   8.380853e+01   1.074816e-01
  8.865732e-03   8.353982e+01   1.071421e-01
  8.936794e-03   8.289641e+01   1.065205e-01
  9.007857e-03   8.217423e+01   1.056978e-01
  9.078919e-03   8.135578e+01   1.047604e-01
  9.149982e-03   8.080750e+01   1.042072e-01
  9.221045e-03   8.030490e+01   1.036803e-01
  9.292107e-03   7.939705e+01   1.027533e-01
  9.363170e-03   7.899392e+01   1.021420e-01
  9.434232e-03   7.844830e+01   1.016470e-01
  9.505295e-03   7.763758e+01   1.008939e-01
  9.576358e-03   7.697636e+01   1.001282e-01
  9.647420e-03   7.639634e+01   9.938600e-02
  9.718483e-03   7.585715e+01   9.887967e-02
  9.789546e-03   7.494782e+01   9.809992e-02
  9.860608e-03   7.445563e+01   9.746953e-02
  9.931671e-03   7.392741e+01   9.676822e-02
  1.000273e-02   7.322860e+01   9.613332e-02
  1.007380e-02   7.259454e+01   9.556401e-02
  1.014486e-02   7.197492e+01   9.481222e-02
  1.021592e-02   7.123988e+01   9.405673e-02
  1.028698e-02   7.091373e+01   9.367115e-02
  1.035805e-02   7.012740e+01   9.303736e-02
  1.042911e-02   6.959384e+01   9.233152e-02
  1.050017e-02   6.900049e+01   9.162031e-02
  1.057123e-02   6.838140e+01   9.104967e-02
  1.064230e-02   6.779493e+01   9.050404e-02
  1.071336e-02   6.728866e+01   8.987342e-02
  1.078442e-02   6.659575e+01   8.910348e-02
  1.085548e-02   6.602011e+01   8.858560e-02
  1.092655e-02   6.539317e+01   8.800534e-02
  1.099761e-02   6.482115e+01   8.735175e-02
  1.106867e-02   6.421867e+01   8.664852e-02
  1.113974e-02   6.376996e+01   8.627799e-02
  1.121080e-02   6.303223e+01   8.556543e-02
  1.128186e-02   6.252009e+01   8.500349e-02
  1.135292e-02   6.178136e+01   8.418102e-02
  1.142399e-02   6.119278e+01   8.367883e-02
  1.149505e-02   6.072805e+01   8.319665e-02
  1.156611e-02   6.009068e+01   8.253411e-02
  1.163717e-02   5.958000e+01   8.193282e-02
  1.170824e-02   5.899693e+01   8.142376e-02
  1.177930e-02   5.853113e+01   8.093010e-02
  1.185036e-02   5.789323e+01   8.027263e-02
  1.192142e-02   5.725057e+01   7.955716e-02
  1.199249e-02   5.676401e+01   7.912123e-02
  1.206355e-02   5.624497e+01   7.858602e-02
  1.213461e-02   5.567248e+01   7.798728e-02
  1.220567e-02   5.505778e+01   7.728320e-02
  1.227674e-02   5.445929e+01   7.679808e-02
  1.234780e-02   5.389653e+01   7.707504e-02
  1.241886e-02   5.354772e+01   7.811004e-02
  1.248992e-02   5.291877e+01   7.829198e-02
  1.256099e-02   5.233186e+01   7.841742e-02
  1.263205e-02   5.189288e+01   7.866487e-02
  1.270311e-02   5.137050e+01   7.859185e-02
  1.277418e-02   5.062815e+01   7.823458e-02
  1.284524e-02   5.027513e+01   7.829291e-02
  1.291630e-02   4.963606e+01   7.819660e-02
  1.298736e-02   4.932037e+01   7.809513e-02
  1.305843e-02   4.870709e+01   7.776386e-02
  1.312949e-02   4.815815e+01   7.758299e-02
  1.320055e-02   4.760739e+01   7.747424e-02
  1.327161e-02   4.713482e+01   7.715197e-02
  1.334268e-02   4.651889e+01   7.674239e-02
  1.341374e-02   4.619520e+01   7.668738e-02
  1.348480e-02   4.569851e+01   7.652556e-02
  1.355586e-02   4.507698e+01   7.481197e-02
  1.362693e-02   4.465753e+01   7.281485e-02
  1.369799e-02   4.428037e+01   7.171004e-02
  1.376905e-02   4.373222e+01   7.057791e-02
  1.384011e-02   4.319255e+01   6.947883e-02
  1.391118e-02   4.269280e+01   6.853303e-02
  1.398224e-02   4.229420e+01   6.786663e-02
  1.405330e-02   4.172422e+01   6.695107e-02
  1.412437e-02   4.136817e+01   6.622317e-02
  1.419543e-02   4.079707e+01   6.533099e-02
  1.426649e-02   4.030549e+01   6.469746e-02
  1.433755e-02   3.978201e+01   6.392904e-02
  1.440862e-02   3.930654e+01   6.315917e-02
  1.447968e-02   3.900429e+01   6.260928e-02
  1.455074e-02   3.838282e+01   6.192223e-02
  1.462180e-02   3.791500e+01   6.129782e-02
  1.469287e-02   3.751029e+01   6.071257e-02
  1.476393e-02   3.717121e+01   6.027148e-02
  1.483499e-02   3.664553e+01   5.979068e-02
  1.490605e-02   3.621468e+01   5.929686e-02
  1.497712e-02   3.579094e+01   5.873495e-02
  1.504818e-02   3.532886e+01   5.821294e-02
  1.511924e-02   3.494805e+01   5.782983e-02
